cis;x_norm;y_norm;offset_x;offset_y
SAINT PIERRE BOIS TH;;;0;0
SALMBACH;;;0;0
SARRE UNION;;;0;0
SAVERNE;;;0;0
SCHAEFFERSHEIM;;;0;0
SCHARRACHBERGHEIM IR;;;0;0
SCHERWILLER;;;0;0
SCHIRMECK;;;0;0
SCHIRRHEIN;;;0;0
SCHLEITHAL;;;0;0
SCHNERSHEIM;;;0;0
SCHOENAU;;;0;0
SCHOENBOURG;;;0;0
SCHWEIGHOUSE SUR MOD;;;0;0
SCHWINDRATZHEIM;;;0;0
SEEBACH;;;0;0
SELESTAT;0.4542;0.8415;0;0
SELTZ;;;0;0
SERMERSHEIM;;;0;0
SESSENHEIM;;;0;0
SOUFFLENHEIM;;;0;0
SOULTZ SOUS FORETS;;;0;0
SSSM;;;0;0
STEINBOURG;;;0;0
STEINSELTZ;;;0;0
STILL;;;0;0
STOTZHEIM;;;0;0
STRASBOURG NORD;0.6614;0.5438;0;0
STRASBOURG SUD;0.6469;0.6049;0;0
STUTZHEIM OFFENHEIM;;;0;0
SUD;;;0;0
SUNDHOUSE;;;0;0
SURBOURG;;;0;0
TRIMBACH;;;0;0
TRUCHTERSHEIM;;;0;0
UHRWILLER;;;0;0
UHRWILLER ENGWILLER;;;0;0
URMATT;;;0;0
VAL DE MODER;;;0;0
VALFF;;;0;0
VENDENHEIM;;;0;0
VILLE;;;0;0
VOLKSBERG;;;0;0
WALTENHEIM SUR ZORN;;;0;0
WANGENBOURG ENGENTHA;;;0;0
WASSELONNE;;;0;0
WEISLINGEN;;;0;0
WEITBRUCH;;;0;0
WESTHOFFEN;;;0;0
WESTHOUSE;;;0;0
WEYER;;;0;0
WEYERSHEIM;;;0;0
WILWISHEIM;;;0;0
WIMMENAU;;;0;0
WINGEN;;;0;0
WINGEN SUR MODER;;;0;0
WINGERSHEIM LES QUAT;;;0;0
WINTERSHOUSE;;;0;0
WINTZENBACH;;;0;0
WISCHES;;;0;0
WISSEMBOURG;;;0;0
WITTISHEIM;;;0;0
WOERTH;;;0;0
WOLFISHEIM;;;0;0
ZZ_DAMBACH LA VILLE;;;0;0
ZZ_MUTZIG;;;0;0
ZZ_SCHILTIGHEIM;;;0;0
